"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"62684",2,5,4,6,4,5,5,5,1,2,1,1,5,6,6,5,4,6,3,4,5,1,4,6,2
"62685",3,2,4,6,6,6,2,5,1,2,3,2,5,6,4,1,1,2,3,1,6,2,6,5,3
"62686",2,4,4,6,4,6,5,3,2,2,5,5,2,3,4,3,3,2,4,2,3,5,5,5,2
"62687",2,4,6,5,5,2,6,5,3,2,4,2,4,5,6,4,4,4,4,2,5,2,5,5,4
"62688",1,6,5,6,4,6,6,5,1,2,1,5,2,5,6,5,6,4,4,3,4,5,5,5,2
"62690",1,5,4,6,4,4,6,5,4,1,6,4,5,4,6,4,6,5,4,4,5,1,5,4,1
"62692",1,6,6,6,6,6,6,5,1,1,1,1,5,6,6,1,2,1,1,1,6,1,6,5,1
"62694",3,5,5,6,5,6,6,5,1,1,3,2,6,6,6,4,4,4,2,1,6,4,5,2,2
"62698",4,6,6,6,5,4,3,4,4,3,2,4,4,5,4,4,5,5,3,2,4,5,4,6,2
"62700",1,4,4,4,6,4,4,6,3,3,4,2,4,6,2,2,3,2,1,1,6,2,5,4,2
"62703",2,5,5,4,6,4,3,5,2,3,3,2,5,NA,3,1,2,1,3,2,4,4,5,4,3
"62706",1,6,5,6,5,4,5,6,1,1,1,1,5,5,6,5,5,6,1,5,3,6,5,6,5
"62707",2,4,2,6,5,3,5,4,2,2,NA,4,3,4,4,4,4,4,5,6,5,4,3,4,4
"62708",6,6,6,6,6,5,6,6,1,1,1,1,6,6,6,6,6,6,1,6,6,6,6,6,1
"62710",1,6,4,3,5,5,4,4,3,4,1,2,4,5,3,3,3,4,3,2,5,2,4,6,2
"62712",1,6,5,5,6,6,5,5,1,3,1,1,5,6,6,1,2,1,1,1,6,1,6,6,1
"62715",2,4,5,6,5,5,5,5,2,4,3,4,4,5,1,2,4,3,5,4,4,5,4,4,3
"62716",4,5,4,5,4,3,1,1,3,6,2,3,4,5,3,2,4,3,NA,1,6,2,5,4,2
"62717",1,5,5,6,4,5,4,5,4,2,4,4,4,5,3,3,4,4,3,4,5,2,4,6,2
"62718",3,4,4,5,5,5,4,3,3,4,2,2,5,6,4,5,5,6,4,4,4,2,4,4,4
"62719",1,4,6,5,6,5,2,6,1,1,1,3,5,1,5,6,6,6,6,6,4,1,5,6,1
"62720",2,5,5,6,5,1,5,2,1,2,1,5,5,5,3,3,5,1,1,3,3,1,3,4,5
"62722",1,5,4,1,5,5,4,5,2,5,6,6,3,1,2,4,4,6,6,5,5,2,5,6,2
"62726",1,5,6,6,5,2,5,4,2,1,1,1,4,6,4,3,4,1,1,1,5,6,4,2,3
"62728",3,4,NA,5,3,5,5,4,2,5,3,5,1,2,3,2,5,3,3,2,4,2,6,5,1
"62729",5,4,3,4,3,3,2,3,4,4,3,3,5,4,3,5,5,4,5,4,5,1,5,6,3
"62731",5,4,4,4,2,5,2,2,4,2,3,4,NA,4,3,4,4,5,5,2,2,2,2,5,4
"62740",3,5,5,5,5,5,4,3,2,4,2,2,4,4,4,5,6,4,3,4,5,4,4,5,2
"62741",3,4,4,6,5,5,4,5,2,1,5,3,4,4,4,2,3,3,2,2,4,4,4,5,3
"62744",4,5,4,5,2,5,5,5,3,2,3,2,6,2,6,5,5,5,3,5,6,3,6,6,1
"62745",1,6,6,6,5,2,5,6,4,6,6,5,5,5,6,4,5,4,4,6,2,6,4,6,3
"62749",1,6,4,6,5,2,5,6,1,2,1,3,4,3,5,2,2,1,6,4,4,1,4,5,2
"62750",2,4,4,6,5,5,2,5,1,2,2,2,3,5,4,2,5,2,2,1,4,3,4,4,3
"62751",2,4,5,3,5,4,4,5,4,5,5,6,3,4,3,3,4,4,4,3,5,5,4,6,5
"62757",5,4,4,6,4,5,5,5,2,2,4,2,3,5,5,4,4,NA,4,2,5,5,3,5,2
"62758",2,5,4,4,4,2,2,4,2,5,1,1,5,6,5,3,3,1,1,1,5,1,4,4,1
"62761",1,6,5,4,5,6,5,6,1,2,1,1,5,5,5,1,1,2,2,3,5,2,5,6,1
"62764",4,3,5,6,5,4,5,5,1,2,3,4,4,6,5,5,6,6,3,4,6,3,4,5,3
"62765",1,6,6,6,1,1,4,6,1,1,4,1,3,3,2,1,1,1,1,1,1,1,2,5,1
"62766",4,5,4,2,2,5,3,3,3,5,5,6,3,5,3,6,6,5,6,3,6,6,5,6,4
"62767",4,5,4,6,4,1,1,2,4,5,1,1,3,4,6,6,4,1,1,1,6,5,1,6,6
"62768",1,6,6,6,6,6,6,5,1,2,1,1,6,5,5,1,2,1,1,4,5,4,4,5,4
"62770",3,6,6,6,5,2,5,5,2,2,3,4,4,5,4,3,4,4,5,6,2,5,4,5,4
"62772",1,5,5,6,5,4,5,4,4,4,2,1,5,6,5,2,2,4,4,3,5,5,4,6,2
"62776",2,5,3,2,4,2,2,4,4,4,3,3,6,5,4,5,6,4,5,4,6,6,5,6,1
"62778",1,6,6,5,6,NA,5,5,1,1,2,1,6,5,6,1,5,1,1,3,6,3,5,2,1
"62779",1,4,5,4,5,3,5,4,2,4,4,3,4,4,4,2,3,1,4,3,4,4,4,5,3
"62780",1,6,6,6,5,6,6,6,1,2,3,3,5,6,6,1,3,4,2,3,6,1,6,6,3
"62781",2,5,4,6,4,6,5,4,2,1,3,2,3,4,5,2,3,1,1,1,5,5,4,4,2
"62783",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"62785",3,6,5,6,5,5,6,5,1,4,2,2,4,6,5,4,4,4,3,3,6,1,5,4,4
"62786",1,5,6,6,6,6,6,5,1,4,3,2,6,5,6,4,4,5,3,1,6,1,6,5,2
"62787",1,1,5,6,3,5,3,1,2,5,4,3,1,5,4,3,3,3,3,2,5,5,2,6,6
"62788",1,6,6,6,6,6,6,5,2,3,1,2,6,5,5,2,5,5,5,4,5,3,4,6,2
"62789",1,6,4,6,6,4,4,3,5,2,1,1,3,6,4,1,2,2,2,1,5,1,5,5,2
"62790",1,5,5,6,6,6,5,6,1,1,3,1,6,6,5,4,4,4,3,1,6,1,5,1,4
"62792",5,4,4,5,5,4,3,4,4,3,3,1,2,3,5,5,5,3,1,1,4,6,4,5,6
"62795",2,5,2,5,4,5,4,1,5,5,2,5,1,6,5,4,4,2,4,5,2,6,1,6,6
"62796",1,5,5,5,5,2,4,4,6,5,4,6,3,5,1,4,5,4,4,4,5,6,2,5,4
"62797",1,6,6,6,6,3,4,1,1,4,1,1,6,6,6,1,1,2,1,1,5,6,3,4,3
"62800",3,5,6,6,4,3,5,3,1,1,1,1,5,5,6,4,6,6,5,3,6,1,5,6,2
"62801",6,6,6,6,6,5,6,5,1,1,5,5,4,2,5,2,3,1,3,5,5,5,4,5,3
"62803",1,6,5,5,5,4,4,4,4,2,2,3,3,5,2,1,1,2,2,5,3,2,4,5,4
"62804",3,6,1,5,6,6,3,3,2,4,1,1,5,6,6,3,5,2,3,2,6,3,6,6,1
"62805",1,6,5,6,5,4,5,5,2,4,2,3,5,5,4,4,5,5,4,3,5,1,5,6,2
"62809",3,2,3,4,2,NA,3,2,2,3,6,6,2,5,3,6,5,5,2,5,3,6,1,1,3
"62810",1,5,5,5,6,6,6,6,1,1,1,2,5,6,6,1,1,1,1,1,6,6,5,4,2
"62816",2,6,6,5,3,6,5,6,1,6,1,5,4,4,6,6,6,6,6,6,2,1,3,6,2
"62817",4,5,5,6,6,3,5,6,5,3,6,6,5,6,5,5,3,2,1,5,5,6,4,1,5
"62819",1,4,6,6,6,3,4,2,2,5,4,3,4,4,4,2,2,2,3,1,4,3,5,6,6
"62821",3,6,6,6,5,6,5,6,1,2,3,1,5,6,5,1,3,2,1,1,5,1,5,6,1
"62822",1,5,5,6,4,4,4,4,3,2,1,2,4,5,4,3,3,3,1,2,4,2,4,4,3
"62825",2,5,2,1,3,4,2,4,4,5,4,4,2,4,3,3,5,5,4,1,5,2,3,3,2
"62826",2,5,4,6,5,4,5,4,3,4,1,3,4,5,5,5,5,4,3,3,4,4,4,4,4
"62827",4,5,5,6,5,4,6,6,4,4,1,5,4,4,5,3,5,4,4,4,5,4,5,4,5
"62828",2,6,5,6,6,6,6,5,4,2,1,2,5,6,5,3,5,1,4,3,6,4,5,5,3
"62831",6,2,5,6,2,6,5,3,5,3,5,2,4,5,6,6,6,6,5,6,5,5,4,4,6
"62832",1,5,5,6,5,5,5,5,3,3,2,1,5,6,6,3,3,1,2,1,6,5,2,6,4
"62834",1,6,4,4,4,4,4,6,2,2,6,6,5,5,6,2,4,4,1,2,6,4,5,6,2
"62835",1,5,4,5,5,4,4,3,NA,4,3,2,4,5,4,4,5,5,6,5,5,6,3,6,2
"62837",2,5,6,5,4,1,5,6,1,4,4,1,5,4,6,4,4,4,4,1,6,1,5,6,1
"62839",4,6,6,2,5,5,5,5,2,1,5,2,6,6,6,2,6,6,3,2,6,6,5,4,4
"62840",1,5,5,6,5,4,4,4,1,2,4,2,5,6,5,3,3,2,1,2,6,1,5,5,2
"62844",1,6,5,6,4,5,5,5,2,2,2,2,3,6,3,5,5,5,1,4,4,6,5,5,2
"62846",5,6,2,6,5,4,5,4,2,4,5,2,3,5,4,1,3,1,2,3,6,2,2,1,1
"62847",NA,6,6,NA,6,6,6,5,1,1,1,1,5,6,6,1,1,2,1,4,5,1,6,2,4
"62849",2,6,5,6,5,4,6,5,1,2,4,4,5,5,6,2,2,4,2,1,5,1,3,5,4
"62851",3,6,6,6,3,6,4,6,4,2,1,1,5,6,6,2,3,2,1,2,6,6,5,1,6
"62853",1,6,6,6,6,5,6,6,2,4,6,4,5,5,5,2,1,1,2,4,6,1,4,6,2
"62856",2,5,5,6,6,4,5,5,1,2,1,2,4,6,5,1,1,1,1,2,6,4,4,1,3
"62857",3,4,4,6,4,4,4,3,4,4,1,5,4,3,3,5,5,4,3,3,4,5,4,4,4
"62858",4,6,5,6,6,5,5,5,2,2,1,1,4,6,6,2,3,2,2,2,5,4,4,5,4
"62861",2,6,4,6,5,4,4,2,4,4,2,2,6,6,5,1,2,5,4,2,5,2,6,6,1
"62863",1,6,5,6,6,3,2,5,2,NA,1,1,4,6,6,3,3,3,3,2,6,2,4,6,2
"62864",3,4,2,4,4,5,1,4,2,1,1,4,3,3,4,6,6,6,2,1,3,6,1,5,1
"62867",1,6,6,4,5,4,3,4,4,4,3,6,6,3,6,1,3,1,3,1,5,3,6,4,1
"62869",1,5,6,6,5,4,4,4,2,5,3,5,1,2,4,2,4,4,6,4,4,4,3,4,3
"62870",1,6,6,6,6,2,NA,6,1,NA,6,5,6,6,6,4,1,6,4,5,6,1,5,5,1
"62872",1,6,6,6,6,2,5,6,1,NA,6,5,6,6,6,4,1,6,4,5,6,1,5,5,1
"62874",1,6,6,6,6,5,6,6,1,1,1,1,6,6,6,1,1,1,1,2,5,2,3,4,1
"62876",1,5,4,5,4,4,2,3,NA,3,3,4,3,1,4,3,4,4,4,4,4,4,NA,5,1
"62877",2,6,6,6,6,5,4,5,1,4,6,4,6,5,4,3,3,2,5,3,NA,1,5,6,1
"62878",2,5,5,6,6,2,6,4,1,3,5,4,6,4,5,1,1,1,1,5,6,4,6,4,3
"62879",1,6,6,6,6,6,6,5,2,1,5,6,6,5,6,1,2,1,2,1,6,1,6,6,1
"62881",2,6,6,6,5,6,5,6,1,1,4,5,4,5,6,3,5,5,4,3,6,1,4,5,1
"62883",3,4,4,4,4,4,4,4,2,4,5,3,4,4,4,2,2,3,5,2,5,2,4,5,5
"62887",1,4,1,4,5,6,6,5,1,1,2,2,4,6,6,NA,5,NA,2,4,4,4,4,5,5
"62889",2,5,5,4,3,4,2,5,4,3,3,3,4,4,5,4,5,4,3,5,5,1,4,4,2
"62890",1,6,6,4,4,5,4,5,4,5,2,4,4,4,5,4,5,4,2,5,6,1,5,5,2
"62891",2,5,6,4,6,6,6,6,1,2,4,3,5,4,6,2,3,3,2,2,6,1,6,6,1
"62897",2,6,5,6,3,4,5,5,1,1,3,6,4,3,6,5,6,2,2,4,6,2,4,4,1
"62898",4,6,6,5,6,6,6,6,1,1,1,1,6,6,6,4,2,1,1,2,6,4,6,6,2
"62899",2,1,6,6,6,5,6,5,1,1,5,5,6,5,5,3,4,1,5,6,4,2,NA,2,5
"62901",2,5,4,4,2,4,3,5,4,3,4,4,3,3,3,5,5,6,6,5,4,2,2,5,4
"62903",2,5,5,5,1,5,5,2,4,2,2,2,NA,5,5,1,1,1,1,1,5,1,4,4,2
"62908",3,5,3,6,1,4,3,3,5,5,3,6,1,2,2,6,6,6,5,6,3,6,1,6,4
"62910",3,5,5,6,5,5,5,5,2,2,2,2,4,5,4,2,2,2,2,4,4,2,4,5,2
"62911",4,4,4,4,4,5,4,4,1,2,4,3,3,4,5,4,5,3,4,3,3,5,4,3,3
"62916",2,6,6,6,5,2,1,4,4,1,2,2,5,6,4,4,3,2,1,2,6,1,5,6,2
"62918",4,3,1,3,3,6,4,4,2,2,3,4,3,4,5,5,5,6,6,6,5,5,4,6,3
"62920",2,6,6,6,6,5,5,5,2,3,5,5,5,5,4,1,5,4,6,6,6,2,6,6,2
"62922",3,6,4,6,5,5,5,5,2,4,5,2,4,5,5,1,1,2,2,5,4,4,5,4,4
"62926",1,3,2,3,2,5,5,2,4,5,5,5,3,2,3,4,4,5,6,2,6,2,5,6,2
"62931",1,6,6,4,6,5,5,6,1,2,5,2,4,5,3,4,3,5,4,6,5,1,3,5,6
"62933",1,5,4,5,5,1,6,4,1,1,4,4,1,5,5,1,2,1,3,4,3,3,3,1,2
"62934",4,4,2,4,4,4,4,4,3,4,3,5,2,2,4,2,3,3,4,4,2,2,4,4,2
"62936",1,4,4,5,5,3,1,2,2,2,4,5,2,3,5,2,NA,1,4,1,2,4,4,5,2
"62938",2,5,5,6,5,6,5,4,2,2,1,1,6,6,6,2,2,2,2,1,6,2,6,4,2
"62939",3,5,5,5,4,4,4,4,3,3,4,2,4,4,5,3,3,3,2,2,5,2,5,5,1
"62941",2,5,4,5,5,4,4,4,3,3,4,3,3,4,5,3,4,2,3,3,5,2,5,5,2
"62942",1,5,5,6,6,5,6,4,2,2,5,4,5,5,5,4,4,2,5,4,4,1,3,4,2
"62948",4,6,6,6,6,4,3,1,3,2,1,4,4,6,5,3,6,6,2,1,5,4,3,5,1
"62949",3,4,6,3,3,6,4,4,2,3,1,2,6,6,6,NA,6,4,2,3,6,3,6,4,NA
"62950",1,6,6,6,6,6,5,4,1,1,5,3,4,5,6,3,5,2,2,2,1,2,5,3,2
"62951",1,4,5,5,5,4,2,4,2,4,4,2,2,5,3,2,2,2,2,1,5,1,5,6,2
"62953",1,6,6,6,5,6,5,5,1,2,5,5,4,5,2,2,3,5,2,2,6,2,5,4,2
"62954",2,4,4,5,2,5,5,1,1,6,3,4,3,2,1,2,2,4,6,4,2,2,6,5,1
"62957",2,5,2,6,4,6,5,4,1,2,2,2,5,5,5,1,1,1,1,1,5,1,3,5,2
"62962",1,5,6,6,5,4,2,4,1,1,2,2,5,6,5,1,2,1,1,2,4,4,6,4,1
"62965",2,4,2,5,4,5,5,4,4,6,5,5,2,2,4,4,5,5,6,4,6,1,6,6,1
"62968",4,4,4,6,2,2,4,4,3,4,5,4,2,4,4,2,3,4,5,3,4,2,5,5,4
"62969",1,5,6,6,6,6,5,5,1,5,1,6,6,6,5,4,5,5,1,1,4,1,6,3,3
"62971",3,5,5,6,6,5,5,5,2,2,1,2,5,6,6,6,6,5,5,5,6,6,NA,6,5
"62974",5,6,6,6,6,5,5,4,1,1,5,1,5,6,3,1,1,3,1,1,5,1,6,4,4
"62976",1,6,6,6,6,6,5,5,3,1,5,4,4,4,5,1,1,2,4,2,6,2,4,6,1
"62983",1,5,5,6,6,5,3,4,2,3,3,5,4,5,4,4,5,3,2,5,4,2,5,6,2
"62984",1,6,5,6,4,4,2,4,5,3,1,6,4,4,1,4,5,4,4,1,1,1,2,5,1
"62989",3,6,5,6,5,3,5,5,1,1,3,1,3,4,4,3,3,2,3,4,4,4,4,4,2
"62990",6,1,1,1,1,6,6,6,1,1,6,6,1,1,6,6,6,6,6,1,6,1,6,6,1
"62991",5,5,4,5,5,5,5,5,3,1,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4
"62994",1,6,5,2,5,5,5,3,3,5,1,1,4,6,4,5,5,6,5,5,4,2,4,3,2
"62995",6,1,1,2,3,2,4,2,4,4,3,5,4,3,4,5,6,4,4,4,5,1,4,4,2
"62996",2,5,5,5,4,4,5,5,2,1,1,1,3,5,4,1,2,2,4,1,3,2,4,5,2
"62997",2,NA,5,3,6,2,1,5,2,6,1,1,5,6,6,6,6,5,5,3,4,6,3,3,3
"63004",5,5,5,6,3,4,5,5,2,2,4,6,4,5,4,5,5,5,4,4,5,4,1,2,5
"63007",4,6,6,6,4,4,6,6,3,5,3,2,6,5,6,6,6,4,3,6,6,6,5,6,4
"63013",2,5,4,4,4,3,4,3,4,5,2,4,4,4,4,5,5,2,4,6,4,5,3,4,3
"63017",3,4,5,6,5,6,4,4,2,4,2,3,4,6,6,5,6,2,2,3,4,3,2,6,3
"63018",2,6,6,6,6,5,5,5,2,4,2,4,5,6,5,4,5,2,2,1,5,1,5,6,2
"63021",5,3,4,1,4,5,4,5,3,4,2,4,4,4,3,NA,5,3,4,3,6,1,5,6,2
"63023",1,5,6,5,5,6,6,5,2,2,3,2,5,4,2,1,5,4,2,4,4,1,5,5,1
"63026",2,6,3,6,5,6,6,6,1,1,4,2,1,2,2,4,5,4,5,4,4,2,4,5,3
"63027",1,6,5,2,5,1,2,3,3,1,1,2,5,1,3,1,1,1,1,1,2,2,4,5,2
"63030",1,NA,NA,NA,5,6,NA,NA,NA,2,NA,2,NA,6,NA,NA,3,4,NA,NA,NA,2,NA,4,NA
"63034",4,6,6,6,6,4,6,5,3,3,5,5,6,6,5,1,4,6,4,3,6,5,6,5,NA
"63035",NA,6,3,5,4,5,5,5,1,2,2,4,3,5,4,3,4,6,6,5,5,2,3,6,2
"63036",2,6,6,NA,6,4,3,4,1,1,3,1,4,5,5,1,2,1,2,1,6,1,4,6,3
"63037",5,5,5,6,5,6,6,4,4,4,6,5,2,3,3,4,5,2,4,1,5,5,4,6,1
"63038",1,5,4,2,5,5,5,4,2,4,5,2,5,5,5,2,1,5,5,1,6,1,5,6,1
"63039",4,5,6,1,5,6,5,4,2,5,1,4,3,5,6,5,6,6,5,1,4,4,5,4,1
"63040",4,4,5,4,4,4,4,3,NA,4,5,4,3,4,3,5,5,2,4,4,3,3,4,6,5
"63042",2,6,6,5,5,4,4,3,4,3,1,1,6,6,6,4,4,3,1,4,5,1,6,6,2
"63047",2,5,5,6,4,4,4,2,3,5,2,5,4,4,4,4,4,4,5,4,4,3,4,5,2
"63048",1,6,6,6,6,5,5,2,4,5,2,3,6,5,5,5,6,6,6,5,4,5,6,6,2
"63049",1,6,5,6,6,6,6,6,1,1,1,1,5,6,6,1,1,1,1,1,6,1,6,5,2
"63050",3,4,6,4,5,5,4,3,NA,4,4,3,4,5,4,4,3,3,2,1,5,2,4,4,5
"63051",2,6,6,6,6,NA,5,2,1,2,1,1,5,6,5,1,3,2,2,3,6,2,6,5,3
"63054",2,5,5,6,5,4,5,5,2,5,2,2,5,5,NA,2,2,4,2,2,5,4,5,5,2
"63055",3,6,6,6,5,5,6,6,2,1,5,4,5,5,6,5,6,6,2,5,5,2,5,6,2
"63059",1,6,6,6,6,6,6,6,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,5,2
"63062",3,4,4,4,4,5,3,4,3,5,4,4,2,3,4,5,6,6,4,5,4,2,3,5,4
"63063",2,4,4,3,5,3,4,3,4,4,3,5,5,4,3,5,5,6,4,6,5,2,5,6,1
"63069",2,6,6,6,5,6,6,5,3,3,4,5,4,4,4,3,5,3,3,3,4,2,5,6,4
"63070",5,2,3,5,4,6,4,5,2,4,5,6,2,2,2,4,3,1,3,1,6,2,2,6,2
"63071",1,6,6,6,6,6,5,6,1,1,2,3,3,6,5,2,2,2,1,1,5,1,4,6,1
"63073",3,5,3,5,5,6,4,4,2,5,2,2,2,6,4,4,4,3,2,2,6,1,5,6,1
"63075",1,6,5,6,5,6,5,5,4,2,4,5,4,5,5,3,3,5,4,6,4,5,6,5,4
"63077",1,5,5,5,6,5,5,5,2,1,6,5,2,5,3,5,5,5,6,5,2,2,5,4,2
"63081",3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,3,3,3,2,1,6,3,5,4,5
"63083",2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3
"63084",1,6,6,4,5,5,4,5,2,1,2,2,5,6,5,1,4,3,4,1,4,1,5,5,2
"63089",2,5,5,3,5,5,6,3,1,6,1,2,4,5,5,5,5,6,5,4,6,1,5,5,2
"63090",5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,2,2,2,2,6,1,3,5,2
"63092",5,4,5,1,5,3,5,5,4,2,3,4,4,3,2,4,5,3,5,2,6,2,5,5,1
"63094",3,5,2,NA,5,4,3,3,3,5,4,4,3,4,2,4,4,2,2,1,5,1,4,5,2
"63096",1,6,5,6,5,4,5,5,1,2,1,2,4,5,4,1,2,2,1,2,5,1,4,5,2
"63097",1,6,6,6,6,5,6,6,2,1,1,4,6,4,5,6,5,4,5,6,2,4,4,6,2
"63099",1,5,6,6,1,3,5,5,2,2,2,1,4,6,4,1,1,2,3,3,5,3,4,2,5
"63100",3,2,4,1,4,5,6,3,2,4,4,3,2,4,5,4,6,5,4,1,3,1,4,2,3
"63102",1,6,4,5,4,5,5,5,1,4,3,3,5,5,5,3,4,2,2,2,4,6,4,5,4
"63103",5,6,3,2,2,5,6,6,1,2,5,3,4,5,4,2,5,3,3,5,6,1,6,6,5
"63104",4,4,3,3,3,3,3,3,3,4,3,4,3,6,3,3,3,4,3,3,3,3,3,3,3
"63108",2,3,4,4,5,3,2,5,4,6,3,2,4,5,2,2,4,1,2,1,3,3,3,4,3
"63109",2,6,4,2,5,5,5,5,1,1,5,2,6,4,6,3,3,1,1,NA,6,4,4,6,1
"63112",2,4,4,3,5,3,2,3,4,4,4,2,5,5,5,1,1,2,2,1,4,1,3,6,2
"63115",2,5,5,6,5,5,5,5,5,4,6,4,3,5,2,2,2,2,3,3,6,2,4,6,5
"63116",5,6,6,6,6,4,5,5,2,1,1,1,5,6,5,1,NA,2,1,2,4,3,5,4,3
"63120",2,5,5,3,2,5,4,6,1,4,3,6,2,1,5,6,6,6,3,2,5,1,4,3,2
"63121",2,6,5,6,5,6,6,6,1,5,2,2,4,5,4,1,4,4,1,2,5,6,3,4,3
"63122",2,4,4,4,5,3,4,3,3,4,4,4,3,4,4,3,3,3,4,2,5,2,4,5,2
"63123",3,1,5,6,4,5,6,1,2,1,5,3,5,6,5,1,1,1,1,1,6,4,6,6,1
"63125",2,4,2,2,3,5,5,5,2,2,4,5,2,3,2,4,5,3,4,4,5,3,4,4,5
"63127",2,5,6,6,2,5,5,5,1,2,2,5,2,2,5,2,5,6,2,6,4,6,4,6,2
"63128",2,6,6,6,5,5,5,6,2,2,1,2,5,6,4,2,4,4,2,4,5,2,5,4,2
"63130",1,6,6,5,5,5,4,5,2,6,1,2,6,6,6,5,6,5,4,6,6,6,5,5,2
"63131",1,6,NA,6,6,5,6,5,NA,1,1,3,6,5,5,1,1,5,1,1,5,1,4,5,2
"63135",2,5,4,5,5,4,4,5,3,4,3,2,4,5,5,4,3,2,2,2,5,4,4,4,4
"63136",2,6,5,5,2,4,6,5,2,4,2,6,4,3,5,2,4,5,4,2,4,4,5,5,1
"63139",1,6,5,6,6,5,5,6,2,2,2,2,5,5,6,4,4,1,1,3,5,3,4,5,2
"63141",1,6,6,NA,5,1,6,6,1,1,2,5,4,4,6,5,5,6,4,3,5,1,2,5,1
"63142",2,5,5,5,5,3,4,5,2,4,2,2,6,6,6,3,2,3,2,2,5,4,5,6,2
"63146",1,6,6,6,1,4,2,2,2,4,1,1,6,5,6,2,2,2,3,2,6,1,6,5,1
"63147",1,5,4,5,5,6,5,6,1,1,2,1,5,6,5,3,3,4,2,3,5,1,5,5,2
"63152",1,3,4,4,4,5,6,4,4,4,6,4,2,3,2,3,2,1,1,2,5,1,4,6,2
"63154",2,6,5,6,4,5,5,6,2,3,1,2,5,6,5,3,5,2,2,2,5,4,5,3,3
"63155",3,6,5,4,4,5,5,6,2,4,4,4,3,4,5,4,4,5,4,5,6,4,6,6,2
"63158",1,1,5,6,6,6,5,2,1,5,4,5,2,5,3,3,4,4,2,3,6,1,6,6,1
"63161",2,6,4,2,5,NA,3,3,1,1,5,4,6,3,5,1,1,1,4,1,6,1,5,4,1
"63163",1,6,5,6,5,6,6,6,1,2,1,2,4,6,6,1,4,1,3,1,6,1,5,6,1
"63165",1,5,5,6,5,3,4,3,2,2,2,3,3,5,3,3,3,3,3,2,4,2,2,5,2
"63171",5,4,6,2,4,4,4,4,3,5,5,4,2,4,5,5,6,5,4,5,5,1,5,6,6
"63172",5,6,6,6,6,6,5,5,1,1,2,3,5,6,6,2,5,4,NA,4,6,4,5,4,3
"63173",3,5,5,3,4,4,4,6,2,4,1,3,5,5,6,3,5,4,5,3,6,2,4,6,2
"63176",1,6,6,5,6,4,5,5,2,2,2,1,3,5,5,1,1,2,2,1,6,4,4,3,2
"63181",3,4,5,6,2,3,5,4,2,3,3,2,3,5,4,2,3,2,2,5,2,2,3,2,2
"63182",2,4,4,6,4,4,5,4,2,2,1,2,4,5,4,4,3,5,6,2,2,3,5,5,3
"63183",3,4,4,6,5,3,3,2,3,4,1,1,3,6,4,2,2,1,1,1,4,3,4,3,2
"63187",3,3,3,4,5,3,5,5,1,6,1,4,4,5,5,4,3,4,2,4,5,4,4,4,3
"63192",2,5,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,4,2,4,3,3,5,4
"63193",3,5,2,1,2,5,1,2,2,4,1,2,5,5,6,4,6,3,2,3,5,2,6,5,5
"63194",4,6,4,2,4,4,4,4,4,4,4,2,3,5,3,4,5,2,2,2,5,1,4,5,3
"63197",2,5,5,2,4,5,5,4,3,4,2,2,4,5,5,5,6,5,5,5,2,3,4,6,2
"63200",3,6,6,3,4,3,4,6,2,1,6,3,1,4,4,2,1,2,6,6,6,2,6,2,3
"63201",1,5,6,5,5,5,4,4,2,2,2,1,5,6,4,2,3,2,4,1,6,4,4,5,3
"63203",2,4,5,1,5,4,2,2,4,3,2,5,4,4,4,3,4,3,3,4,5,5,3,4,4
"63209",1,5,4,5,5,6,6,2,1,1,NA,6,2,5,5,4,4,5,6,6,4,2,3,6,4
"63215",3,4,6,1,2,5,5,2,3,5,1,6,5,4,5,4,5,5,6,2,3,2,5,6,4
"63222",3,4,2,3,4,4,5,3,3,5,2,4,5,5,5,4,4,4,5,2,5,2,5,6,1
"63223",2,5,6,5,4,3,2,2,5,6,2,3,3,6,4,3,3,5,4,3,3,2,3,6,2
"63225",2,5,6,2,4,6,6,6,1,4,3,2,2,5,3,2,4,1,5,5,3,4,2,6,3
"63227",2,4,5,2,3,4,4,4,2,4,1,5,4,4,4,4,4,4,5,4,4,3,4,4,3
"63228",1,5,5,5,5,3,4,3,4,4,1,4,5,4,6,3,3,3,2,4,5,1,4,6,2
"63233",1,5,5,6,4,5,5,3,2,3,5,4,2,2,5,5,2,4,2,4,5,2,5,5,1
"63237",2,6,6,6,6,5,5,5,3,4,2,1,5,6,6,2,5,3,2,1,5,2,5,5,2
"63238",1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,2,3,5,5,2,6,4,6,6,2
"63239",3,6,6,6,6,6,5,6,2,1,1,1,6,6,5,2,2,3,2,2,6,1,5,6,1
